business_id,name,city,state,stars,review_count,categories,is_open,latitude,longitude
iBRSMKcxAjq6FbCsMGBfPg,Old Montreal Hot Dogs & Poutine,Edmonton,AB,3.0,5,"Hot Dogs, Restaurants, Poutineries",0,53.4533434,-113.4253591
WlcnQ4EJiyEwBzHpP-qVPA,Forbes Road Produce,Plant City,FL,4.5,21,"Fruits & Veggies, Food, Specialty Food",1,28.025382,-82.186744
f_GIv3cHcyXGxEPXRJ2eCQ,Lucky Bamboo,Nashville,TN,2.5,37,"Restaurants, Chinese",0,36.1491276,-86.8626214
hGy3actugEISbvEGQeMz3A,Dunkin',Royersford,PA,2.0,23,"Food, Donuts, Coffee & Tea",1,40.1905208,-75.5320826
ERR_LOWER_2,Medical Home Pharmacy,Trenton,NJ,4.0,5,"Drugstores, Shopping, Doctors, Health & Medical",1,40.2372417,-74.7472856
6eNaNLgDCWsuez7GOLCNTA,Kiehl's,Philadelphia,PA,4.0,27,"Skin Care, Shopping, Cosmetics & Beauty Supply, Beauty & Spas",0,39.9501337,-75.1704821
KN0IJPxZ6bwVYmqLcAfRdg,McDonald's,North Wales,PA,1.5,20,"Restaurants, Burgers, Fast Food, Coffee & Tea, Food",1,40.2273628769,-75.2591022849
ERR_LOWER_1,Kill'em All Tattoo,Clearwater,FL,4.0,20,"Piercing, Beauty & Spas, Tattoo",1,28.025028,-82.737532
ERR_LOWER_0,Winn Dixie,Apollo Beach,FL,4.0,9,"Food, Grocery",1,27.7517428963,-82.4120338792
1dGHymYBZRr8Yqx1rkIq-g,Petite G Jewelers,Indianapolis,IN,5.0,8,"Watches, Local Services, Jewelry, Jewelry Repair, Shopping",1,39.8543961,-86.1592324
fJy6uOpJwU0IKkuk6QQ6Hg,Restoration Hardware,Tampa,FL,4.0,7,"Shopping, Home & Garden, Furniture Stores",0,27.936693642,-82.4760666518
G4Uv3I-beufsh-z0OWGpkA,Mars & Venus,Edmonton,AB,4.0,35,"Accessories, Shoe Stores, Women's Clothing, Used, Vintage & Consignment, Fashion, Shopping, Men's Clothing, Toy Stores",1,53.51843,-113.496071
18GT3ehNAaP97OjNCS8CsA,The Zen Nails,Newark,DE,3.5,95,"Nail Salons, Beauty & Spas",1,39.666545,-75.668131
oKvzmVhA1dKf-UARX4EpzQ,Puccino's Coffee,Harahan,LA,2.5,60,"Breakfast & Brunch, Coffee & Tea, Restaurants, Sandwiches, Food, American (Traditional)",1,29.9647895674,-90.2056624436
0wbxdLDPXuNXRSSPFccisg,Medical Home Pharmacy,Trenton,NJ,4.0,5,"Drugstores, Shopping, Doctors, Health & Medical",1,40.2372417,-74.7472856
lrcR9T43HT7188jkAPvz6g,Lube City,Sherwood Park,AB,4.5,7,"Automotive, Oil Change Stations, Windshield Installation & Repair, Tires",1,53.5425266683,-113.3128964279
bdwOvAxPpLS9HEfF9UR9sw,Amie's Therapeutic Massage,Santa Barbara,CA,5.0,8,"Massage, Health & Medical, Beauty & Spas, Massage Therapy",1,34.4207976885,-119.6423643788
M2o8h0H8hkaNwf1F68qVWA,KFC,Springfield,PA,1.5,28,"Chicken Wings, Chicken Shop, Restaurants, Mexican, Fast Food",1,39.9446777,-75.3487104
ERR_CAT_1,Dunkin',Royersford,PA,2.0,23,Unknown,1,40.1905208,-75.5320826
UAZXuGdugEZMHwD7nq_ubA,Le Cafe Creperie,Cherry Hill,NJ,4.0,33,"Food, Pizza, Restaurants, Creperies, Desserts",0,39.9036804,-74.967696
6y11yyaf0I60vRP0wCUQxw,Kill'em All Tattoo,Clearwater,FL,4.0,20,"Piercing, Beauty & Spas, Tattoo",1,28.025028,-82.737532
wJmSzfoDvsEYpI_go8mDdQ,Boca Bargoons Tampa,Tampa,FL,3.0,11,"Shopping, Arts & Crafts, Fabric Stores",0,27.995762,-82.448946
qmDm7guS7TAZTSDFYY2bug,Pizza Hut,Wilmington,DE,1.5,45,"Pizza, Chicken Wings, Restaurants, Italian",0,39.7346451,-75.637351
TlcMQKzX2Cxh3LSwY-24uw,Local Brewing,Palm Harbor,FL,3.0,254,"Pubs, Music Venues, Bars, American (New), Nightlife, Gastropubs, Restaurants, Food, Breweries, Arts & Entertainment",1,28.0960115,-82.7379594
FcZCU1-T43sEh8nzoUTnQA,Artifax,Philadelphia,PA,4.0,29,"Tobacco Shops, Vape Shops, Shopping",1,40.0464192,-75.0581274
